identifier,type,parameters,explanation,kind,default_value
show,,,shows the current scene,method,
hide,,,hides the current scene,method,
rotate,,"radians: float","Applies a rotation to the node, in radians, starting from its current rotation.",method,
move_forward,,"pixels: int",Moves the turtle in the direction it's facing by some pixels.,method,
turn_right,,"degrees: int",Rotates the turtle to the right by some degrees.,method,
turn_left,,"degrees: int",Rotates the turtle to the left by some degrees.,method,
jump,,"x: float, y: float",Offsets the turtle's position by the given x and y amounts of pixels.,method,
draw_rectangle,,"length: float, height: float",Makes the turtle draw a rectangle starting at its current position.,method,
position.x,float,,The position of the entity on the horizontal axis.,property,0.0
position.y,float,,The position of the entity on the vertical axis.,property,0.0
move_local_x,void,"delta: float, scaled:bool=false", "Applies a local translation on the node's X axis based on the [code]Node._process[/code]'s [code]delta[/code]. If [code]scaled[/code] is false, normalizes the movement.",method,
